
core model                threads  tok_s      bytes impliedBW
---- -----                -------  -----      ----- ---------
P    qwen1.5b-IQ4_NL.gguf       2 20.228 1072764448    21.700
P    qwen1.5b-IQ4_XS.gguf       2 18.249 1026162208    18.726
P    qwen1.5b-Q3_K_M.gguf       2 19.457  924455968    17.987
P    qwen1.5b-Q4_0.gguf         2 21.359 1066227232    22.774
P    qwen1.5b-Q4_K_M.gguf       2 20.924 1117320736    23.379
P    qwen1.5b-Q8_0.gguf         2 13.171 1894532128    24.953
P    qwen1.5b-IQ4_NL.gguf       6 40.716 1072764448    43.679
P    qwen1.5b-IQ4_XS.gguf       6 38.281 1026162208    39.282
P    qwen1.5b-Q3_K_M.gguf       6 39.781  924455968    36.775
P    qwen1.5b-Q4_0.gguf         6 42.234 1066227232    45.031
P    qwen1.5b-Q4_K_M.gguf       6 38.470 1117320736    42.983
P    qwen1.5b-Q8_0.gguf         6 26.355 1894532128    49.930



